all_frac,best_frac,best_match,best_match_dk,entropy,idx,n_matches,top_occurence,w
1.8667252687808507,0.9086331172036994,EU, EU _ eu,0.34814731906198954,281,30383,14789,europa
2.0,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,3487,6,3,isil
1.2,0.6,Foreign affairs,udenrig_ forsvaret _militær,0.6730116670092565,1832,30,15,våben
1.0,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,3985,1,1,udviklingsbistand
0.22875816993464052,0.5555555555555556,Environment, klima_ miljø _ naturen ,1.3589441551512025,685,126,306,handling
0.4006734006734007,0.7555555555555555,Crime,kriminal_kriminel,0.7417898786216728,235,315,594,sker
0.062027833001988074,0.34210526315789475,Economy, økonom_ vækst,1.7168319653219206,1089,456,2515,claus
0.07069102462271644,0.4635416666666667,Economy, økonom_ vækst,1.7546297996410454,2282,192,1259,hjort
0.18157363819771352,0.5410821643286573,Economy, økonom_ vækst,1.5145727491036483,1965,499,1487,bjarne
3.723076923076923,0.9958847736625515,Foreign affairs,udenrig_ forsvaret _militær,0.029564395812325547,3975,486,130,putin
2.4615384615384617,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,2210,64,26,udenrigsminister
1.3222505187700433,0.9200301896698825,EU, EU _ eu,0.39488146718704653,29,30474,21204,eu
2.654586353411647,0.9848850148367952,Science,forskning_ universitet_videregående udd,0.10532321482397254,1151,10784,4001,forskning
0.7854810349158503,0.7794117647058824,EU, EU _ eu,0.9261820049522549,1130,4012,3981,forbud
0.9815950920245399,0.9248554913294798,EU, EU _ eu,0.4070288757310087,2386,692,652,farlige
1.8472222222222223,0.9925373134328358,Foreign affairs,udenrig_ forsvaret _militær,0.04398581447708116,1215,134,72,international
1.4375,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,3357,23,16,fns
1.4547969458891226,0.9133032302882945,EU, EU _ eu,0.4782742276472233,340,14395,9037,morten
0.3528418004102812,0.6960247560104736,EU, EU _ eu,1.2375103444825848,121,4201,8287,radikale
0.5244434243745697,0.7402008422416586,EU, EU _ eu,1.1189838969776529,1027,3087,4357,østergaard
0.09889607569766645,0.25716153571853084,Economy, økonom_ vækst,1.9611986927278315,25,16826,43753,venstre
0.7832212616074288,0.817786693413574,EU, EU _ eu,0.7720394526321969,1471,2991,3123,vestager
0.015766653527788728,0.22099447513812154,EU, EU _ eu,2.1712909134058775,2068,181,2537,joachim
0.35684647302904565,0.7818181818181819,Economy, økonom_ vækst,0.801763670026396,1399,110,241,rapport
0.14496368978324742,0.6472772277227723,Crime,kriminal_kriminel,1.075260110359718,42,4040,18039,blevet
0.26262626262626265,0.7027027027027027,Economy, økonom_ vækst,0.9915508144256107,3039,37,99,rapporten
0.07516551992730106,0.4516380655226209,Economy, økonom_ vækst,1.7585925797469868,105,1282,7703,viser
0.1111111111111111,0.5,Foreign affairs,udenrig_ forsvaret _militær,0.6931471805599453,385,2,9,særligt
1.319373634377276,0.9842434121162728,Economy, økonom_ vækst,0.11003282478506965,483,3681,2746,økonomiske
0.050919982884039365,0.6611111111111111,Economy, økonom_ vækst,1.2618851277676137,139,180,2337,set
1.3739345274861026,0.9945452919610123,Economy, økonom_ vækst,0.0431828431983232,227,11183,8095,udvikling
0.14553990610328638,0.34444444444444444,Environment, klima_ miljø _ naturen ,1.438799624888729,268,90,213,største
0.25,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,1230,1,4,ordfører
0.11774217257092459,0.7599620493358634,EU, EU _ eu,0.9882746356285188,271,1054,6803,venstres
0.006122448979591836,0.3333333333333333,EU, EU _ eu,1.8310204811135165,1423,9,490,send
0.03283582089552239,0.8186046511627907,Foreign affairs,udenrig_ forsvaret _militær,0.7148572416629861,1899,215,5360,kvinders
0.015904572564612324,0.7272727272727273,Science,forskning_ universitet_videregående udd,0.7595473914748635,853,11,503,oplæg
0.033126293995859216,0.24676125848241826,Taxes,skat,1.945626738764679,134,1621,12075,konservative
0.38227109210615623,0.5308700160241304,Foreign affairs,udenrig_ forsvaret _militær,0.8783626793432848,108,10609,14733,valg
0.8607038123167156,0.6954976303317536,EU, EU _ eu,0.8539787179859842,1697,844,682,tyske
0.36758154907314267,0.8621503201887428,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,0.6613380424553819,106,8901,20877,politikere
0.40762812872467225,0.5958188153310104,Environment, klima_ miljø _ naturen ,1.108229622410653,2507,574,839,auken
0.051061678463094035,0.4353448275862069,Environment, klima_ miljø _ naturen ,1.6248890654493378,2150,232,1978,esben
0.06571087216248507,0.4330708661417323,Environment, klima_ miljø _ naturen ,1.643262411781243,2727,127,837,lunde
0.49078947368421055,0.8714953271028038,Crime,kriminal_kriminel,0.4675717448052526,419,428,760,dybt
0.4555045871559633,0.6750509857239972,EU, EU _ eu,1.0967704640903155,2226,1471,2180,ryge
0.05,0.4,Science,forskning_ universitet_videregående udd,1.71408754118701,4275,15,120,clausen
0.4622222222222222,0.9629629629629629,Social policy,fattig_socialt udsat_socialminis_svageste,0.1969187468295656,720,108,225,gaden
0.02736842105263158,0.5652173913043478,Education,undervis_folkeskole_ungdomsuddan,1.2755887563513075,2438,23,475,plakater
2.2528352234823217,0.908772874058127,Foreign affairs,udenrig_ forsvaret _militær,0.36552589873904606,680,3716,1499,demokratiske
0.06537186167693036,0.34328358208955223,Economy, økonom_ vækst,1.7132006805304432,115,402,2111,fokus
2.2579617834394905,0.9860917941585535,Environment, klima_ miljø _ naturen ,0.07779377843411434,2664,719,314,klimaforandringerne
0.0703125,0.3444976076555024,Economy, økonom_ vækst,1.8789233836042214,231,209,1024,bag
0.10689816987329892,0.3612432603869331,Immigration,indvandr_flygt_udlænding,1.6153483999586318,109,3153,10655,regering
0.07727664464234416,0.4085041761579347,Crime,kriminal_kriminel,1.8891857756454205,695,1317,6962,mvh
0.009569377990430622,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,2867,4,418,barfoed
0.10497237569060773,0.4634146341463415,Immigration,indvandr_flygt_udlænding,1.6134984453577426,1194,41,181,frederiksberg
0.010020843354176688,0.3834355828220859,Economy, økonom_ vækst,1.89824074508478,73,326,12474,tror
0.0851063829787234,0.3157894736842105,Education,undervis_folkeskole_ungdomsuddan,1.8252206759712406,1882,38,141,mads
0.3073661255149019,0.9844780752813349,Foreign affairs,udenrig_ forsvaret _militær,0.10073106334555958,602,2577,8254,of
0.3042737124071594,0.9877470355731225,Foreign affairs,udenrig_ forsvaret _militær,0.07736798575201748,644,2530,8213,and
0.27154574132492115,0.9921622867680959,Foreign affairs,udenrig_ forsvaret _militær,0.053942827281665044,858,2169,7925,in
0.13767133604458504,0.9631190727081138,Foreign affairs,udenrig_ forsvaret _militær,0.2038848602947003,978,949,6639,it
0.08203059337703816,0.8106312292358804,Economy, økonom_ vækst,0.7035222873361053,502,602,5949,artikel
0.23601398601398602,0.7941176470588235,Foreign affairs,udenrig_ forsvaret _militær,0.7821145847687636,1754,170,572,demonstration
0.09549085026792033,0.36916161813562637,Taxes,skat,1.7768751484406875,34,5117,19782,uden
0.12173913043478261,0.5,EU, EU _ eu,1.4777236536615048,4092,28,115,bødskov
0.07142857142857142,0.5714285714285714,Culture,kunst _musik_museum_kulturpol,0.6829081047004717,674,7,56,løbet
0.11607142857142858,0.5909090909090909,Foreign affairs,udenrig_ forsvaret _militær,1.425579793676302,2130,22,112,km
0.4166666666666667,0.8333333333333334,Economy, økonom_ vækst,0.45056120886630463,1119,6,12,organisationer
0.04815864022662889,0.25092250922509224,Economy, økonom_ vækst,2.294188239212641,3053,271,1412,sass
0.008911368015414258,0.38144329896907214,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,1.8105431472537243,600,97,4152,statsministeren
0.17391304347826086,0.8253968253968254,EU, EU _ eu,0.7100481922543185,2056,63,299,petersen
